,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
94,192.0,193.0,3256846.0,1.0,1.0,-5,203,0.0
95,217.0,200.0,32831350.0,0.0,0.0,-3,247,1.0
96,228.0,235.0,4020067.0,-2.0,2.0,-16,214,0.0
97,205.0,217.0,-9469813.0,0.0,1.0,6,226,1.0
98,202.0,210.0,-12271041.0,0.0,2.0,-14,184,0.0
99,186.0,188.0,10921174.0,2.0,0.0,15,193,0.0
100,238.0,210.0,14041045.0,1.0,0.0,-8,236,1.0
101,212.0,206.0,15398667.0,2.0,1.0,18,184,0.0
102,204.0,205.0,-22032581.0,-1.0,1.0,20,206,0.0
103,186.0,195.0,-25076710.0,0.0,2.0,-19,201,0.0
104,198.0,196.0,35559765.0,2.0,3.0,27,199,0.0
105,208.0,222.0,1425833.0,1.0,1.0,5,247,1.0
106,222.0,207.0,11335404.0,-1.0,1.0,-17,231,1.0
107,185.0,200.0,-26381317.0,-1.0,2.0,18,240,1.0
108,217.0,195.0,12608530.0,1.0,2.0,21,217,0.0
109,203.0,213.0,12434045.0,1.0,1.0,-2,200,0.0
110,230.0,215.0,55521280.0,1.0,0.0,6,188,0.0
111,232.0,222.0,-11688422.0,-1.0,2.0,-6,202,0.0
112,204.0,209.0,-26949769.0,1.0,1.0,-22,216,0.0
113,202.0,189.0,-1998958.0,0.0,3.0,10,228,1.0
114,185.0,215.0,-15975179.0,2.0,0.0,9,215,0.0
115,230.0,226.0,35391396.0,0.0,2.0,-6,238,1.0
116,213.0,202.0,29385801.0,0.0,2.0,3,223,1.0
117,207.0,234.0,-23746992.0,0.0,2.0,-20,204,0.0
118,208.0,211.0,-28583559.0,-1.0,1.0,-15,223,1.0
119,214.0,211.0,-9779556.0,0.0,0.0,-5,193,0.0
120,217.0,223.0,-41513251.0,-1.0,2.0,1,189,0.0
121,210.0,224.0,6032278.0,0.0,3.0,9,201,0.0
122,216.0,209.0,-13088095.0,-1.0,1.0,12,236,1.0
123,228.0,218.0,6758662.0,0.0,1.0,13,227,1.0
124,188.0,208.0,17360897.0,-1.0,2.0,-7,195,0.0
125,206.0,215.0,6981441.0,2.0,3.0,-22,188,0.0
126,213.0,223.0,-1382054.0,-2.0,3.0,11,231,1.0
127,204.0,195.0,3003228.0,-2.0,2.0,7,209,0.0
128,204.0,211.0,-28246220.0,3.0,0.0,-9,209,0.0
129,230.0,221.0,19548024.0,0.0,2.0,-8,252,1.0
130,192.0,177.0,-11001508.0,0.0,1.0,-6,186,0.0
131,198.0,225.0,-28900831.0,1.0,2.0,-19,235,1.0
132,203.0,194.0,33876230.0,3.0,3.0,9,207,0.0
133,202.0,208.0,-5585004.0,-1.0,2.0,-9,217,0.0
134,224.0,203.0,21467978.0,1.0,3.0,13,211,0.0
135,225.0,202.0,10718500.0,2.0,2.0,-2,232,1.0
136,202.0,191.0,19344859.0,-4.0,6.0,27,247,1.0
137,214.0,209.0,-41690798.0,0.0,2.0,-3,205,0.0
138,204.0,218.0,-20682982.0,-1.0,1.0,5,209,0.0
139,210.0,210.0,6531290.0,-1.0,3.0,18,206,0.0
